[d=11 shard 5/7] 400000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6652s
[d=11 shard 5/7] 405000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6706s
[d=11 shard 5/7] 410000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6760s
[d=11 shard 5/7] 415000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6809s
[d=11 shard 5/7] 420000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6853s
[d=11 shard 5/7] 425000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6898s
[d=11 shard 5/7] 430000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6943s
[d=11 shard 5/7] 435000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 6987s
[d=11 shard 5/7] 440000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7031s
[d=11 shard 5/7] 445000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7074s
[d=11 shard 5/7] 450000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7119s
[d=11 shard 5/7] 455000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7162s
[d=11 shard 5/7] 460000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7205s
[d=11 shard 5/7] 465000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7246s
[d=11 shard 5/7] 470000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7289s
[d=11 shard 5/7] 475000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7334s
[d=11 shard 5/7] 480000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7378s
[d=11 shard 5/7] 485000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7420s
[d=11 shard 5/7] 490000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7465s
[d=11 shard 5/7] 495000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7512s
[d=11 shard 5/7] 500000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7556s
[d=11 shard 5/7] 505000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7598s
