config,combo_count,wheel_count,cartwheel_first_count
D0792,0,0,532
D0793,0,0,879
D0794,0,0,160
D0795,0,0,22
D0796,0,0,11
D0797,0,0,11
D0798,0,0,85
D0799,0,0,1
D0800,0,0,213
D0801,0,0,3249
D0802,0,0,1860
D0803,0,0,9435
D0804,0,0,1331
D0805,0,0,528
D0806,0,0,212
D0807,0,0,304
D0808,0,0,63
D0809,0,0,1770
D0810,0,0,179
D0811,0,0,28
D0812,0,0,79
D0813,0,0,100
D0814,0,0,105
D0815,0,0,710
D0816,0,0,99
D0817,0,0,208
D0818,0,0,2896
D0819,0,0,1404
D0820,0,0,165
D0821,0,0,40
D0822,0,0,58
D0823,0,0,643
D0824,0,0,2033
D0825,0,0,441
D0826,0,0,752
D0827,0,0,191
D0828,0,0,1088
D0829,0,0,1960
D0830,0,0,633
D0831,0,0,239
D0832,0,0,223
D0833,0,0,2350
D0834,0,0,929
D0835,0,0,1093
D0836,0,0,359
D0837,0,0,22
D0838,0,0,1139
D0839,0,0,6862
D0840,0,0,162
D0841,0,0,202
D0842,0,0,4052
D0843,0,0,1842
D0844,0,0,730
D0845,0,0,545
D0846,0,0,909
D0847,0,0,1318
D0848,0,0,391
D0849,0,0,479
D0850,0,0,97
D0851,0,0,471
D0852,0,0,564
D0853,0,0,1067
D0854,0,0,6283
D0855,0,0,466
D0856,0,0,540
D0857,0,0,76
D0858,0,0,943
D0859,0,0,512
D0860,0,0,136
D0861,0,0,6
D0862,0,0,356
D0863,0,0,136
D0864,0,0,120
D0865,0,0,161
D0866,0,0,197
D0867,0,0,53
D0868,0,0,20
D0869,0,0,72
D0870,0,0,229
D0871,0,0,36
D0872,0,0,57
D0873,0,0,28
D0874,0,0,286
D0875,0,0,149
D0876,0,0,75
D0877,0,0,49
D0878,0,0,1231
D0879,0,0,194
D0880,0,0,169
D0881,0,0,395
D0882,0,0,41
D0883,0,0,18
D0884,0,0,164
D0885,0,0,252
D0886,0,0,176
D0887,0,0,262
D0888,0,0,33
D0889,0,0,258
D0890,0,0,468
D0891,0,0,352
D0892,0,0,183
D0893,0,0,219
D0894,0,0,36
D0895,0,0,260
D0896,0,0,146
D0897,0,0,68
D0898,0,0,46
D0899,0,0,26
D0900,0,0,63
D0901,0,0,116
D0902,0,0,42
D0903,0,0,36
D0904,0,0,27
D0905,0,0,27
D0906,0,0,129
D0907,0,0,145
D0908,0,0,17
D0909,0,0,42
D0910,0,0,82
D0911,0,0,218
D0912,0,0,33
D0913,0,0,24
D0914,0,0,101
D0915,0,0,65
D0916,0,0,150
D0917,0,0,112
D0918,0,0,45
D0919,0,0,166
D0920,0,0,615
D0921,0,0,2239
D0922,0,0,396
D0923,0,0,113
D0924,0,0,1009
D0925,0,0,422
D0926,8,0,1504
D0927,0,0,1144
D0928,0,0,192
D0929,0,0,180
D0930,0,0,134
D0931,0,0,28
D0932,0,0,115
D0933,0,0,69
D0934,0,0,50
D0935,0,0,242
D0936,0,0,210
D0937,0,0,75
D0938,0,0,106
D0939,0,0,79
D0940,0,0,615
D0941,0,0,146
D0942,0,0,36
D0943,0,0,54
D0944,0,0,12
D0945,0,0,12
D0946,0,0,2423
D0947,0,0,679
D0948,0,0,209
D0949,0,0,32
D0950,0,0,1077
D0951,0,0,218
D0952,0,0,127
D0953,0,0,5
D0954,0,0,178
D0955,0,0,14
D0956,0,0,190
D0957,0,0,183
D0958,0,0,131
D0959,0,0,63
D0960,0,0,137
D0961,0,0,104
D0962,0,0,13
D0963,0,0,14
D0964,0,0,206
D0965,0,0,171
D0966,0,0,536
D0967,0,0,34
D0968,0,0,56
D0969,0,0,20
D0970,0,0,860
D0971,0,0,659
D0972,0,0,85
D0973,0,0,131
D0974,0,0,207
D0975,0,0,307
D0976,0,0,394
D0977,0,0,323
D0978,0,0,255
D0979,0,0,128
D0980,0,0,48
D0981,0,0,196
D0982,0,0,275
D0983,0,0,66
D0984,0,0,291
D0985,0,0,1108
D0986,0,0,38
D0987,0,0,244
D0988,0,0,655
D0989,0,0,112
D0990,0,0,30
D0991,0,0,48
D0992,0,0,486
D0993,0,0,172
D0994,0,0,555
D0995,0,0,175
D0996,0,0,130
D0997,0,0,92
D0998,0,0,218
D0999,0,0,91
D1000,0,0,104
D1001,0,0,868
D1002,0,0,202
D1003,0,0,115
D1004,0,0,431
D1005,0,0,783
D1006,0,0,149
D1007,0,0,97
D1008,0,0,518
D1009,0,0,1766
D1010,0,0,301
D1011,0,0,428
D1012,0,0,580
D1013,0,0,4177
D1014,0,0,851
D1015,0,0,245
D1016,0,0,236
D1017,0,0,126
D1018,0,0,138
D1019,0,0,56
D1020,0,0,141
D1021,0,0,140
D1022,0,0,72
D1023,0,0,188
D1024,0,0,903
D1025,0,0,52
D1026,0,0,163
D1027,0,0,141
D1028,0,0,787
D1029,0,0,331
D1030,0,0,37
D1031,0,0,99
D1032,0,0,445
D1033,0,0,605
D1034,0,0,222
D1035,0,0,880
D1036,0,0,37
D1037,0,0,61
D1038,0,0,1242
D1039,0,0,353
D1040,0,0,346
D1041,0,0,94
D1042,0,0,242
D1043,0,0,598
D1044,0,0,599
D1045,0,0,503
D1046,0,0,44
D1047,0,0,56
D1048,0,0,83
D1049,0,0,1162
D1050,0,0,31
D1051,0,0,68
D1052,0,0,1961
D1053,0,0,791
D1054,0,0,612
D1055,0,0,653
D1056,0,0,37
D1057,0,0,26
D1058,8,0,438
D1059,0,0,222
D1060,0,0,97
D1061,0,0,78
D1062,0,0,114
D1063,0,0,84
D1064,0,0,316
D1065,0,0,409
D1066,0,0,66
D1067,0,0,36
D1068,0,0,211
D1069,0,0,163
D1070,0,0,7
D1071,0,0,43
D1072,0,0,99
D1073,0,0,302
D1074,0,0,22
D1075,0,0,14
D1076,0,0,16
D1077,0,0,17
D1078,0,0,41
D1079,0,0,37
D1080,0,0,33
D1081,0,0,9
D1082,0,0,26
D1083,0,0,24
D1084,0,0,42
D1085,0,0,27
D1086,0,0,83
D1087,0,0,745
D1088,0,0,61
D1089,0,0,35
D1090,0,0,47
D1091,0,0,174
D1092,0,0,52
D1093,0,0,37
D1094,0,0,20
D1095,0,0,67
D1096,0,0,76
D1097,0,0,126
D1098,0,0,62
D1099,0,0,97
D1100,0,0,252
D1101,0,0,315
D1102,0,0,34
D1103,0,0,8
D1104,0,0,85
D1105,0,0,72
D1106,0,0,62
D1107,0,0,141
D1108,0,0,44
D1109,0,0,71
D1110,0,0,328
D1111,0,0,108
D1112,0,0,51
D1113,0,0,207
D1114,0,0,45
D1115,0,0,73
D1116,0,0,131
D1117,0,0,435
D1118,0,0,55
D1119,0,0,96
D1120,0,0,202
D1121,0,0,256
D1122,0,0,182
D1123,0,0,12
D1124,0,0,11
D1125,0,0,64
D1126,0,0,42
D1127,0,0,41
D1128,0,0,48
D1129,0,0,46
D1130,0,0,48
D1131,0,0,50
D1132,0,0,27
D1133,0,0,38
D1134,0,0,28
D1135,0,0,21
D1136,0,0,153
D1137,0,0,80
D1138,0,0,60
D1139,0,0,39
D1140,0,0,145
D1141,0,0,293
D1142,0,0,35
D1143,0,0,61
D1144,0,0,159
D1145,0,0,20
D1146,0,0,51
D1147,0,0,86
D1148,0,0,70
D1149,0,0,16
D1150,0,0,276
D1151,0,0,363
D1152,0,0,28
D1153,0,0,115
D1154,0,0,24
D1155,0,0,35
D1156,0,0,125
D1157,8,0,2026
D1158,0,0,454
D1159,0,0,66
D1160,0,0,611
D1161,0,0,1416
D1162,0,0,139
D1163,0,0,25
D1164,0,0,459
D1165,0,0,244
D1166,0,0,495
D1167,0,0,51
D1168,0,0,293
D1169,0,0,837
D1170,0,0,130
D1171,0,0,630
D1172,0,0,172
D1173,0,0,331
D1174,0,0,37
D1175,0,0,276
D1176,0,0,3237
D1177,0,0,2322
D1178,0,0,495
D1179,0,0,145
D1180,0,0,167
D1181,0,0,62
D1182,0,0,397
D1183,0,0,1650
D1184,0,0,698
D1185,0,0,807
D1186,0,0,384
D1187,0,0,298
D1188,0,0,99
D1189,0,0,520
D1190,12,0,281
D1191,0,0,108
D1192,0,0,221
D1193,0,0,717
D1194,0,0,521
D1195,0,0,778
D1196,0,0,40
D1197,0,0,40
D1198,0,0,103
D1199,0,0,392
D1200,0,0,36
D1201,0,0,13
D1202,0,0,241
D1203,0,0,135
D1204,0,0,258
D1205,0,0,218
D1206,0,0,160
D1207,0,0,125
D1208,0,0,272
D1209,0,0,71
D1210,0,0,20
D1211,0,0,50
D1212,0,0,315
D1213,0,0,35
D1214,0,0,185
D1215,0,0,8
D1216,0,0,13
D1217,0,0,19
D1218,0,0,266
D1219,0,0,59
D1220,0,0,21
D1221,0,0,58
D1222,0,0,95
D1223,0,0,214
D1224,0,0,787
D1225,0,0,773
D1226,0,0,115
D1227,0,0,62
D1228,0,0,293
D1229,0,0,341
D1230,0,0,79
D1231,0,0,69
D1232,0,0,604
D1233,0,0,126
D1234,0,0,382
D1235,0,0,20
D1236,0,0,43
D1237,0,0,88
D1238,0,0,103
D1239,0,0,0
D1240,0,0,138
D1241,0,0,145
D1242,0,0,88
D1243,0,0,79
D1244,0,0,78
D1245,0,0,1745
D1246,0,0,121
D1247,0,0,129
D1248,0,0,560
D1249,0,0,652
D1250,0,0,52
D1251,0,0,68
D1252,0,0,208
D1253,0,0,245
D1254,0,0,367
D1255,0,0,302
D1256,0,0,151
D1257,0,0,96
D1258,0,0,202
D1259,0,0,634
D1260,0,0,76
D1261,0,0,378
D1262,0,0,0
D1263,0,0,252
D1264,0,0,810
D1265,0,0,753
D1266,0,0,38
D1267,0,0,121
D1268,0,0,464
D1269,0,0,481
D1270,0,0,71
D1271,0,0,13
D1272,0,0,397
D1273,0,0,195
D1274,0,0,59
D1275,0,0,89
D1276,0,0,78
D1277,0,0,153
D1278,0,0,48
D1279,0,0,345
D1280,0,0,46
D1281,0,0,100
D1282,0,0,65
D1283,0,0,159
D1284,0,0,103
D1285,0,0,93
D1286,0,0,553
D1287,0,0,323
D1288,0,0,60
D1289,0,0,178
D1290,0,0,416
D1291,0,0,213
D1292,0,0,20
D1293,0,0,8
D1294,0,0,268
D1295,0,0,36
D1296,0,0,9
D1297,0,0,7
D1298,0,0,3
D1299,0,0,16
D1300,0,0,116
D1301,0,0,64
D1302,0,0,36
D1303,0,0,69
D1304,0,0,119
D1305,0,0,148
D1306,0,0,46
D1307,0,0,39
D1308,0,0,24
D1309,0,0,38
D1310,0,0,38
D1311,0,0,52
D1312,0,0,75
D1313,0,0,24
D1314,0,0,36
D1315,0,0,24
D1316,0,0,148
D1317,0,0,51
D1318,0,0,82
D1319,0,0,62
D1320,0,0,2258
D1321,0,0,100
D1322,8,0,180
D1323,0,0,646
D1324,0,0,168
D1325,0,0,8
D1326,0,0,45
D1327,0,0,51
D1328,0,0,11
D1329,0,0,20
D1330,0,0,20
D1331,0,0,13
D1332,0,0,88
D1333,0,0,56
D1334,0,0,2
D1335,0,0,2
D1336,0,0,705
D1337,0,0,2178
D1338,0,0,409
D1339,0,0,38
D1340,0,0,271
D1341,0,0,507
D1342,0,0,125
D1343,0,0,379
D1344,0,0,284
D1345,0,0,284
D1346,0,0,119
D1347,0,0,632
D1348,0,0,297
D1349,0,0,640
D1350,0,0,688
D1351,0,0,395
D1352,0,0,118
D1353,0,0,321
D1354,0,0,96
D1355,0,0,75
D1356,0,0,278
D1357,0,0,363
D1358,0,0,81
D1359,0,0,327
D1360,0,0,795
D1361,0,0,468
D1362,0,0,112
D1363,0,0,131
D1364,0,0,3
D1365,0,0,98
D1366,0,0,129
D1367,0,0,0
D1368,0,0,33
D1369,0,0,14
D1370,0,0,33
D1371,0,0,20
D1372,0,0,63
D1373,0,0,24
D1374,0,0,24
D1375,0,0,6
